    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (1,106,11,815,42,26);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (2,121,0,753,79,47);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (3,193,0,710,71,26);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (4,165,70,675,56,34);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (5,162,0,757,41,40);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (6,113,0,809,43,35);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (7,295,3,614,62,26);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (8,140,6,806,26,22);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (9,99,130,694,40,37);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (10,229,31,630,55,55);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (11,179,19,722,45,35);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (12,108,0,778,70,44);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (13,176,10,676,105,33);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (14,112,119,676,63,30);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (15,146,139,639,35,41);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (16,165,144,630,44,17);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (17,92,35,783,52,38);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (18,224,76,582,81,37);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (19,178,0,768,36,18);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (20,77,104,730,55,34);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (21,105,113,707,41,34);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (22,155,0,678,119,48);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (23,206,36,690,32,36);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (24,130,0,766,65,39);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (25,79,69,787,39,26);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (26,117,0,817,33,33);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (27,113,0,802,42,43);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (28,21,200,726,32,21);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (29,83,132,740,23,22);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (30,205,50,649,58,38);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (31,116,63,753,34,34);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (32,209,58,647,55,31);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (33,202,77,622,64,35);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (34,99,114,729,25,33);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (35,196,52,687,39,26);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (36,229,3,677,60,31);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (37,31,99,829,31,10);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (38,74,71,781,37,37);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (39,130,67,742,35,26);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (40,226,0,672,51,51);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (41,142,84,659,62,53);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (42,192,82,655,40,31);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (43,219,40,661,40,40);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (44,128,95,697,49,31);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (45,151,46,721,41,41);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (46,68,78,802,32,20);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (47,22,0,857,88,33);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (48,54,85,787,30,44);
